English,Russian
colors,цвета - cveta
black,черный - chernыi
blue,синий - sinii
brown,коричневый - korichnevыi
gray,серый - serыi
green,зеленый - zelenыi
orange,оранжевый - oranzevыi
purple,пурпурный - purpurnыi
red,красный - krasnыi
white,белый - belыi
yellow,желтый - zeltыi
sizes,размеры - razmerы
big,большой - boliooi
deep,глубокий - glubokii
long,длинный - dlinnыi
narrow,узкий - uzkii
short,короткий - korotkii
small,небольшой - neboliooi
tall,высокий - vыsokii
thick,толстый - tolstыi
thin,тонкий - tonkii
wide,широкий - shirokii
,
tastes,вкусы - vkusы
bitter,горький - gorioii
fresh,свежий - svezii
salty,соленый - solenыi
sour,кислый - kislыi
spicy,острый - ostrыi
sweet,сладкий - sladkii
,
qualities,качества - kachestva
bad,плохой - plohoi
clean,чистый - chistыi
dark,темный - temnыi
difficult,трудный - trudnыi
dirty,грязный - griaznыi
dry,сухой - suhoi
easy,легко - legko
empty,пустой - pustoi
expensive,дорогой - dorogoi
fast,быстрый - bыstrыi
foreign,иностранный - inostrannыi
full,полный - polnыi
good,хороший - horoshii
hard,жесткий - zestkii
heavy,тяжелый - tiazelыi
inexpensive,недорогой - nedorogoi
light,свет - svet
local,местный - mestnыi
new,новый - novыi
noisy,шумный - shumnыi
old,старый - starыi
powerful,мощный - moshtnыi
quiet,тихий - tihii
correct,правильный - pravilioыi
slow,медленный - medlennыi
soft,мягкий - miagkii
very,очень - ochenio
weak,слабый - slabыi
wet,мокрый - mokrыi
wrong,неправильный - nepravilioыi
young,молодой - molodoi
,
food,питание - pitanie
almonds,миндаль - mindalio
bread,хлеб - hleb
breakfast,завтрак - zavtrak
butter,сливочное масло - slivochnoe maslo
candy,конфеты - konfetы
cheese,сыр - sыr
chicken,курица - kurica
cumin,тмин - tmin
dessert,десерт - desert
dinner,обед - obed
fish,рыба - rыba
fruit,фрукты - fruktы
ice cream,мороженое - morozenoe
lamb,ягненок - iagnenok
lemon,лимон - limon
lunch,обед - obed
meal,еда - eda
meat,мясо - miaso
oven,печь - pechio
pepper,перец - perec
plants,растения - rastenia
pork,свинина - svinina
salad,салат - salat
salt,соль - solio
sandwich,бутерброд - buterbrod
sausage,колбаса - kolbasa
soup,суп - sup
sugar,сахар - sahar
supper,ужин - uzin
turkey,индейка - indeika
apple,яблоко - iabloko
banana,банан - banan
oranges,апельсины - apelioinы
peaches,персики - persiki
peanut,арахис - arahis
pears,груши - grushi
pineapple,ананас - ananas
grapes,виноград - vinograd
strawberries,клубника - klubnika
vegetables,овощи - ovoshti
carrot,морковь - morkovio
corn,кукуруза - kukuruza
cucumber,огурец - ogurec
garlic,чеснок - chesnok
lettuce,салат-латук - salat-latuk
olives,оливки - olivki
onions,лук - luk
peppers,перцы - percы
potatoes,картофель - kartofelio
pumpkin,тыква - tыkva
beans,бобы - bobы
tomatoes,помидоры - pomidorы
,
alligator,крокодил - krokodil
alligators,крокодилы - krokodilы
bear,медведь - medvedio
bears,медведи - medvedi
bird,птица - ptica
birds,птицы - pticы
bull,бык - bыk
bulls,быки - bыki
cat,кошка - koshka
cats,кошки - koshki
cow,корова - korova
cows,коровы - korovы
deer,олень - olenio
many deer,Много оленей - Mnogo olenei
dog,собака - sobaka
dogs,собаки - sobaki
donkey,осел - osel
donkeys,ослы - oslы
eagle,орел - orel
eagles,орлы - orlы
elephant,слон - slon
elephants,слоны - slonы
giraffe,жирафа - zirafa
giraffes,жирафы - zirafы
goat,козел - kozel
goats,козлы - kozlы
horse,лошадь - loshadio
horses,лошади - loshadi
lion,лев - lev
lions,львы - lioы
monkey,обезьяна - obeziona
monkeys,обезьяны - obezionы
mouse,мышь - mыshio
mice,мыши - mыshi
rabbit,кролик - krolik
rabbits,кролики - kroliki
snake,змея - zmeia
snakes,змеи - zmei
tiger,тигр - tigr
tigers,тигры - tigrы
wolf,волк - volk
wolves,волки - volki
,
objects,объекты - obaektы
bathroom,ванная комната - vannaia komnata
bed,кровать - krovatio
bedroom,спальня - spalioia
ceiling,потолок - potolok
chair,стул - stul
clothes,одежда - odezda
coat,пальто - palioo
cup,кружка - kruzka
desk,стол - stol
dress,платье - platio
floor,этаж - эtaz
fork,вилка - vilka
